gene_name,oncogenicCategory,editor,edit_date,field
IL1B,Neither,loader,2020-04-22-17-36-05-639597,OncogenicCategory_omnigene_3553
IL6,Oncogene,loader,2020-04-22-17-36-08-404163,OncogenicCategory_omnigene_3569
IL7R,Oncogene,loader,2020-04-22-17-36-11-075220,OncogenicCategory_omnigene_3575
INHA,Neither,loader,2020-04-22-17-36-12-536262,OncogenicCategory_omnigene_3623
INHBA,Neither,loader,2020-04-22-17-36-14-459218,OncogenicCategory_omnigene_3624
INPP4A,Neither,loader,2020-04-22-17-36-17-632538,OncogenicCategory_omnigene_3631
INPP4B,Neither,loader,2020-04-22-17-36-21-160279,OncogenicCategory_omnigene_8821
INSR,Neither,loader,2020-04-22-17-36-25-319400,OncogenicCategory_omnigene_3643
IRF2,Neither,loader,2020-04-22-17-36-27-918153,OncogenicCategory_omnigene_3660
IRF4,Both,loader,2020-04-22-17-36-30-684843,OncogenicCategory_omnigene_3662
IRS1,Neither,loader,2020-04-22-17-36-32-823005,OncogenicCategory_omnigene_3667
IRS2,Neither,loader,2020-04-22-17-36-34-639538,OncogenicCategory_omnigene_8660
JAK1,Oncogene,loader,2020-04-22-17-36-37-455842,OncogenicCategory_omnigene_3716
JAK2,Oncogene,loader,2020-04-22-17-36-41-970891,OncogenicCategory_omnigene_3717
JAK3,Oncogene,loader,2020-04-22-17-36-44-292974,OncogenicCategory_omnigene_3718
JUN,Oncogene,loader,2020-04-22-17-36-48-303372,OncogenicCategory_omnigene_3725
KAT6A,Oncogene,loader,2020-04-22-17-36-50-804638,OncogenicCategory_omnigene_7994
KDM5A,Oncogene,loader,2020-04-22-17-36-54-354982,OncogenicCategory_omnigene_5927
KDM5C,Tumor Suppressor Gene,loader,2020-04-22-17-36-56-947953,OncogenicCategory_omnigene_8242
KDM6A,Both,loader,2020-04-22-17-37-00-236351,OncogenicCategory_omnigene_7403
KDR,Oncogene,loader,2020-04-22-17-37-04-248223,OncogenicCategory_omnigene_3791
KEAP1,Tumor Suppressor Gene,loader,2020-04-22-17-37-11-442354,OncogenicCategory_omnigene_9817
KEL,Neither,loader,2020-04-22-17-37-15-098926,OncogenicCategory_omnigene_3792
KIF5B,Neither,loader,2020-04-22-17-37-17-919952,OncogenicCategory_omnigene_3799
KIT,Oncogene,loader,2020-04-22-17-37-20-745492,OncogenicCategory_omnigene_3815
KLF4,Both,loader,2020-04-22-17-37-23-277668,OncogenicCategory_omnigene_9314
KLHL6,Neither,loader,2020-04-22-17-37-24-816499,OncogenicCategory_omnigene_89857
KLRD1,Neither,loader,2020-04-22-17-37-27-039836,OncogenicCategory_omnigene_3824
KMT2A,Neither,loader,2020-04-22-17-39-16-192846,OncogenicCategory_omnigene_4297
KMT2B,Neither,loader,2020-04-22-17-37-29-451642,OncogenicCategory_omnigene_9757
KMT2C,Tumor Suppressor Gene,loader,2020-04-22-17-37-32-236569,OncogenicCategory_omnigene_58508
KMT2D,Both,loader,2020-04-22-17-37-35-531531,OncogenicCategory_omnigene_8085
KNSTRN,Oncogene,loader,2020-04-22-17-37-39-355415,OncogenicCategory_omnigene_90417
KRAS,Oncogene,loader,2020-04-22-17-37-43-640869,OncogenicCategory_omnigene_3845
LAG3,Neither,loader,2020-04-22-17-37-47-039823,OncogenicCategory_omnigene_3902
LAMP1,Neither,loader,2020-04-22-17-37-48-969134,OncogenicCategory_omnigene_3916
LATS1,Tumor Suppressor Gene,loader,2020-04-22-17-37-51-961094,OncogenicCategory_omnigene_9113
LATS2,Tumor Suppressor Gene,loader,2020-04-22-17-37-54-390396,OncogenicCategory_omnigene_26524
LMO1,Oncogene,loader,2020-04-22-17-37-55-968843,OncogenicCategory_omnigene_4004
LRP1B,Tumor Suppressor Gene,loader,2020-04-22-17-37-58-716214,OncogenicCategory_omnigene_53353
LYN,Oncogene,loader,2020-04-22-17-38-00-932366,OncogenicCategory_omnigene_4067
LZTR1,Tumor Suppressor Gene,loader,2020-04-22-17-38-04-051558,OncogenicCategory_omnigene_8216
MAGEA1,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-57-373970,OncogenicCategory_omnigene_4100
MAGEA3,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-59-825060,OncogenicCategory_omnigene_4102
MAGEA4,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-03-230723,OncogenicCategory_omnigene_4103
MAGI2,Neither,loader,2020-04-22-17-38-06-596314,OncogenicCategory_omnigene_9863
MAGOH,Oncogene,loader,2020-04-22-17-38-08-988109,OncogenicCategory_omnigene_4116
MALT1,Oncogene,loader,2020-04-22-17-38-11-789326,OncogenicCategory_omnigene_10892
MAP2K1,Oncogene,loader,2020-04-22-17-38-14-422318,OncogenicCategory_omnigene_5604
MAP2K2,Oncogene,loader,2020-04-22-17-38-16-552663,OncogenicCategory_omnigene_5605
MAP2K4,Both,loader,2020-04-22-17-38-18-847988,OncogenicCategory_omnigene_6416
MAP3K1,Both,loader,2020-04-22-17-38-21-449166,OncogenicCategory_omnigene_4214
MAP3K13,Both,loader,2020-04-22-17-38-23-165902,OncogenicCategory_omnigene_9175
MAP3K4,Neither,loader,2020-04-22-17-38-25-176646,OncogenicCategory_omnigene_4216
MAPK1,Oncogene,loader,2020-04-22-17-38-28-800064,OncogenicCategory_omnigene_5594
MAPK3,Neither,loader,2020-04-22-17-38-31-582022,OncogenicCategory_omnigene_5595
MAX,Oncogene,loader,2020-04-22-17-38-34-618513,OncogenicCategory_omnigene_4149
MCL1,Oncogene,loader,2020-04-22-17-38-37-200401,OncogenicCategory_omnigene_4170
MDC1,Neither,loader,2020-04-22-17-38-39-384372,OncogenicCategory_omnigene_9656
MDM2,Oncogene,loader,2020-04-22-17-38-48-488749,OncogenicCategory_omnigene_4193
MDM4,Oncogene,loader,2020-04-22-17-38-52-349483,OncogenicCategory_omnigene_4194
MED12,Oncogene,loader,2020-04-22-17-38-54-548117,OncogenicCategory_omnigene_9968
MEF2B,Neither,loader,2020-04-22-17-38-55-967701,OncogenicCategory_omnigene_100271849
MEN1,Tumor Suppressor Gene,loader,2020-04-22-17-38-58-514751,OncogenicCategory_omnigene_4221
MET,Oncogene,loader,2020-04-22-17-39-02-363874,OncogenicCategory_omnigene_4233
MGA,Neither,loader,2020-04-22-17-39-04-813862,OncogenicCategory_omnigene_23269
MITF,Oncogene,loader,2020-04-22-17-39-07-194602,OncogenicCategory_omnigene_4286
MLH1,Tumor Suppressor Gene,loader,2020-04-22-17-39-10-571665,OncogenicCategory_omnigene_4292
MLLT3,Neither,loader,2020-04-22-17-39-21-707214,OncogenicCategory_omnigene_4300
MPL,Oncogene,loader,2020-04-22-17-39-24-788271,OncogenicCategory_omnigene_4352
MRE11,Neither,loader,2020-04-22-17-39-32-811577,OncogenicCategory_omnigene_4361
MS4A1,Neither,loader,2020-04-22-17-39-36-075620,OncogenicCategory_omnigene_931
MSH2,Tumor Suppressor Gene,loader,2020-04-22-17-39-39-768040,OncogenicCategory_omnigene_4436
MSH3,Neither,loader,2020-04-22-17-39-41-755859,OncogenicCategory_omnigene_4437
MSH6,Tumor Suppressor Gene,loader,2020-04-22-17-39-44-238172,OncogenicCategory_omnigene_2956
MST1,Neither,loader,2020-04-22-17-39-46-200045,OncogenicCategory_omnigene_4485
MST1R,Neither,loader,2020-04-22-17-39-48-404524,OncogenicCategory_omnigene_4486
MTOR,Oncogene,loader,2020-04-22-17-40-01-098266,OncogenicCategory_omnigene_2475
MUTYH,Tumor Suppressor Gene,loader,2020-04-22-17-40-07-073417,OncogenicCategory_omnigene_4595
MX1,Neither,loader,2020-04-22-17-40-09-851109,OncogenicCategory_omnigene_4599
MYB,Oncogene,loader,2020-04-22-17-40-11-914463,OncogenicCategory_omnigene_4602
MYC,Oncogene,loader,2020-04-22-17-40-14-843626,OncogenicCategory_omnigene_4609
MYCL,Neither,loader,2020-04-22-17-40-18-250907,OncogenicCategory_omnigene_4610
MYCL,Neither,loader,2020-04-22-17-40-18-250907,OncogenicCategory_omnigene_4610
MYCN,Oncogene,loader,2020-04-22-17-40-20-190488,OncogenicCategory_omnigene_4613
MYD88,Oncogene,loader,2020-04-22-17-40-27-501184,OncogenicCategory_omnigene_4615
MYO18A,Oncogene,loader,2020-04-22-17-40-32-134773,OncogenicCategory_omnigene_399687
MYOD1,Oncogene,loader,2020-04-22-17-40-35-788677,OncogenicCategory_omnigene_4654
NAB2,Tumor Suppressor Gene,loader,2020-04-22-17-40-37-618727,OncogenicCategory_omnigene_4665
NBN,Tumor Suppressor Gene,loader,2020-04-22-17-40-40-123198,OncogenicCategory_omnigene_4683
NCOA3,Neither,loader,2020-04-22-17-40-41-921169,OncogenicCategory_omnigene_8202
NCOR1,Tumor Suppressor Gene,loader,2020-04-22-17-40-44-320243,OncogenicCategory_omnigene_9611
NECTIN2,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-09-478140,OncogenicCategory_omnigene_5819
NEGR1,Neither,loader,2020-04-22-17-40-46-039532,OncogenicCategory_omnigene_257194
NF1,Tumor Suppressor Gene,loader,2020-04-22-17-40-48-596181,OncogenicCategory_omnigene_4763
NF2,Tumor Suppressor Gene,loader,2020-04-22-17-40-50-668597,OncogenicCategory_omnigene_4771
NFE2L2,Oncogene,loader,2020-04-22-17-40-55-419980,OncogenicCategory_omnigene_4780
NFKBIA,Neither,loader,2020-04-22-17-40-58-096807,OncogenicCategory_omnigene_4792
NKX2-1,Oncogene,loader,2020-04-22-17-41-00-477980,OncogenicCategory_omnigene_7080
NKX2-8,Oncogene,loader,2020-04-22-17-41-01-891785,OncogenicCategory_omnigene_26257
NKX3-1,Neither,loader,2020-04-22-17-41-04-461516,OncogenicCategory_omnigene_4824
NOTCH1,Tumor Suppressor Gene,loader,2020-04-22-17-41-07-695897,OncogenicCategory_omnigene_4851
NOTCH2,Both,loader,2020-04-22-17-41-11-940549,OncogenicCategory_omnigene_4853
NOTCH3,Tumor Suppressor Gene,loader,2020-04-22-17-41-15-198871,OncogenicCategory_omnigene_4854
NOTCH4,Oncogene,loader,2020-04-22-17-41-17-027464,OncogenicCategory_omnigene_4855
NPM1,Oncogene,loader,2020-04-22-17-41-20-727515,OncogenicCategory_omnigene_4869
NRAS,Oncogene,loader,2020-04-22-17-41-23-759444,OncogenicCategory_omnigene_4893
NRG1,Tumor Suppressor Gene,loader,2020-04-22-17-41-26-716967,OncogenicCategory_omnigene_3084
NSD1,Neither,loader,2020-04-22-17-41-28-436400,OncogenicCategory_omnigene_64324
NTRK1,Oncogene,loader,2020-04-22-17-41-32-775919,OncogenicCategory_omnigene_4914
NTRK2,Oncogene,loader,2020-04-22-17-41-35-828468,OncogenicCategory_omnigene_4915
NTRK3,Oncogene,loader,2020-04-22-17-41-37-665517,OncogenicCategory_omnigene_4916
NUP93,Neither,loader,2020-04-22-17-41-40-322370,OncogenicCategory_omnigene_9688
NUTM1,Oncogene,loader,2020-04-22-17-41-42-754877,OncogenicCategory_omnigene_256646
PAK1,Neither,loader,2020-04-22-17-41-45-888535,OncogenicCategory_omnigene_5058
PAK3,Neither,loader,2020-04-22-17-41-48-069952,OncogenicCategory_omnigene_5063
PAK5,Neither,loader,2020-04-22-17-41-49-904315,OncogenicCategory_omnigene_57144
PALB2,Tumor Suppressor Gene,loader,2020-04-22-17-41-55-805781,OncogenicCategory_omnigene_79728
PARP1,Neither,loader,2020-04-22-17-42-20-242961,OncogenicCategory_omnigene_142
PAX3,Oncogene,loader,2020-04-22-17-42-23-782237,OncogenicCategory_omnigene_5077
PAX5,Oncogene,loader,2020-04-22-17-42-26-553852,OncogenicCategory_omnigene_5079
PAX7,Neither,loader,2020-04-22-17-42-28-656652,OncogenicCategory_omnigene_5081
PAX8,Neither,loader,2020-04-22-17-42-30-240267,OncogenicCategory_omnigene_7849
PBRM1,Tumor Suppressor Gene,loader,2020-04-22-17-42-33-191529,OncogenicCategory_omnigene_55193
PDCD1,Neither,loader,2020-04-22-17-42-36-411006,OncogenicCategory_omnigene_5133
PDCD1LG2,Oncogene,loader,2020-04-22-17-42-38-551128,OncogenicCategory_omnigene_80380
PDGFRA,Oncogene,loader,2020-04-22-17-42-41-213828,OncogenicCategory_omnigene_5156
PDGFRB,Oncogene,loader,2020-04-22-17-42-43-741668,OncogenicCategory_omnigene_5159
PDK1,Neither,loader,2020-04-22-17-42-46-104464,OncogenicCategory_omnigene_5163
PDPK1,Neither,loader,2020-04-22-17-42-48-353668,OncogenicCategory_omnigene_5170
PGR,Neither,loader,2020-04-22-17-42-50-740170,OncogenicCategory_omnigene_5241
PHF6,Tumor Suppressor Gene,loader,2020-04-22-17-42-52-173399,OncogenicCategory_omnigene_84295
PHOX2B,Tumor Suppressor Gene,loader,2020-04-22-17-42-54-384120,OncogenicCategory_omnigene_8929
PIK3C2B,Neither,loader,2020-04-22-17-42-56-004643,OncogenicCategory_omnigene_5287
PIK3C2G,Neither,loader,2020-04-22-17-42-58-256285,OncogenicCategory_omnigene_5288
PIK3C3,Neither,loader,2020-04-22-17-43-00-615569,OncogenicCategory_omnigene_5289
PIK3CA,Oncogene,loader,2020-04-22-17-43-03-746744,OncogenicCategory_omnigene_5290
PIK3CB,Oncogene,loader,2020-04-22-17-43-06-066601,OncogenicCategory_omnigene_5291
PIK3CD,Neither,loader,2020-04-22-17-43-07-767333,OncogenicCategory_omnigene_5293
PIK3CG,Neither,loader,2020-04-22-17-43-09-827606,OncogenicCategory_omnigene_5294
PIK3R1,Tumor Suppressor Gene,loader,2020-04-22-17-43-13-616136,OncogenicCategory_omnigene_5295
PIK3R2,Neither,loader,2020-04-22-17-43-17-166564,OncogenicCategory_omnigene_5296
PIK3R3,Neither,loader,2020-04-22-17-43-19-621067,OncogenicCategory_omnigene_8503
PIM1,Oncogene,loader,2020-04-22-17-43-22-694512,OncogenicCategory_omnigene_5292
PLCG2,Neither,loader,2020-04-22-17-43-24-277752,OncogenicCategory_omnigene_5336
PLK2,Neither,loader,2020-04-22-17-43-25-754806,OncogenicCategory_omnigene_10769
PMAIP1,Neither,loader,2020-04-22-17-43-27-472935,OncogenicCategory_omnigene_5366
PMS1,Neither,loader,2020-04-22-17-43-29-297941,OncogenicCategory_omnigene_5378
PMS2,Tumor Suppressor Gene,loader,2020-04-22-17-43-31-363667,OncogenicCategory_omnigene_5395
PNP,Oncogene,loader,2020-04-22-17-43-33-809121,OncogenicCategory_omnigene_4860
PNRC1,Neither,loader,2020-04-22-17-43-35-324532,OncogenicCategory_omnigene_10957
POLD1,Tumor Suppressor Gene,loader,2020-04-22-17-43-42-506304,OncogenicCategory_omnigene_5424
POLE,Tumor Suppressor Gene,loader,2020-04-22-17-43-46-851083,OncogenicCategory_omnigene_5426
PPARG,Oncogene,loader,2020-04-22-17-43-49-941045,OncogenicCategory_omnigene_5468
PPM1D,Oncogene,loader,2020-04-22-17-43-53-818370,OncogenicCategory_omnigene_8493
PPP2R1A,Oncogene,loader,2020-04-22-17-43-57-558294,OncogenicCategory_omnigene_5518
PPP2R2A,Neither,loader,2020-04-22-17-43-59-821600,OncogenicCategory_omnigene_5520
PPP6C,Tumor Suppressor Gene,loader,2020-04-22-17-44-04-628983,OncogenicCategory_omnigene_5537
PRDM1,Tumor Suppressor Gene,loader,2020-04-22-17-44-07-861600,OncogenicCategory_omnigene_639
PREX2,Oncogene,loader,2020-04-22-17-44-09-895513,OncogenicCategory_omnigene_80243
PRKAR1A,Both,loader,2020-04-22-17-44-11-781902,OncogenicCategory_omnigene_5573
PRKCI,Neither,loader,2020-04-22-17-44-14-424098,OncogenicCategory_omnigene_5584
PRKDC,Neither,loader,2020-04-22-17-44-22-546540,OncogenicCategory_omnigene_5591
PRKN,Neither,loader,2020-04-22-17-42-08-606693,OncogenicCategory_omnigene_5071
PRSS8,Neither,loader,2020-04-22-17-44-26-092043,OncogenicCategory_omnigene_5652
PTCH1,Tumor Suppressor Gene,loader,2020-04-22-17-44-28-886585,OncogenicCategory_omnigene_5727
PTEN,Tumor Suppressor Gene,loader,2020-04-22-17-44-32-765768,OncogenicCategory_omnigene_5728
PTPN11,Oncogene,loader,2020-04-22-17-44-35-933766,OncogenicCategory_omnigene_5781
PTPRD,Tumor Suppressor Gene,loader,2020-04-22-17-44-38-619505,OncogenicCategory_omnigene_5789
PTPRS,Neither,loader,2020-04-22-17-44-42-777254,OncogenicCategory_omnigene_5802
PTPRT,Tumor Suppressor Gene,loader,2020-04-22-17-44-45-759330,OncogenicCategory_omnigene_11122
PVR,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-15-641447,OncogenicCategory_omnigene_5817
QKI,Both,loader,2020-04-22-17-44-50-117185,OncogenicCategory_omnigene_9444
RAB35,Neither,loader,2020-04-22-17-44-52-091742,OncogenicCategory_omnigene_11021
RAC1,Oncogene,loader,2020-04-22-17-44-55-166320,OncogenicCategory_omnigene_5879
RAD21,Both,loader,2020-04-22-17-44-59-030592,OncogenicCategory_omnigene_5885
RAD50,Tumor Suppressor Gene,loader,2020-04-22-17-45-02-264238,OncogenicCategory_omnigene_10111
RAD51,Tumor Suppressor Gene,loader,2020-04-22-17-45-06-241489,OncogenicCategory_omnigene_5888
RAD51B,Tumor Suppressor Gene,loader,2020-04-22-17-45-08-183709,OncogenicCategory_omnigene_5890
RAD51C,Tumor Suppressor Gene,loader,2020-04-22-17-45-10-796616,OncogenicCategory_omnigene_5889
RAD51D,Tumor Suppressor Gene,loader,2020-04-22-17-45-12-651435,OncogenicCategory_omnigene_5892
RAD52,Tumor Suppressor Gene,loader,2020-04-22-17-45-14-876119,OncogenicCategory_omnigene_5893
RAD54L,Tumor Suppressor Gene,loader,2020-04-22-17-45-16-226123,OncogenicCategory_omnigene_8438
RAF1,Oncogene,loader,2020-04-22-17-45-19-864201,OncogenicCategory_omnigene_5894
RANBP2,Tumor Suppressor Gene,loader,2020-04-22-17-45-27-557615,OncogenicCategory_omnigene_5903
RARA,Oncogene,loader,2020-04-22-17-45-32-340841,OncogenicCategory_omnigene_5914
RASA1,Neither,loader,2020-04-22-17-45-34-657154,OncogenicCategory_omnigene_5921
RB1,Tumor Suppressor Gene,loader,2020-04-22-17-45-38-599917,OncogenicCategory_omnigene_5925
RBM10,Tumor Suppressor Gene,loader,2020-04-22-17-45-41-174730,OncogenicCategory_omnigene_8241
RECQL4,Both,loader,2020-04-22-17-45-44-230481,OncogenicCategory_omnigene_9401
REL,Oncogene,loader,2020-04-22-17-45-46-121289,OncogenicCategory_omnigene_5966
RET,Oncogene,loader,2020-04-22-17-45-50-647811,OncogenicCategory_omnigene_5979
RHEB,Oncogene,loader,2020-04-22-17-45-55-081463,OncogenicCategory_omnigene_6009
RHOA,Oncogene,loader,2020-04-22-17-46-02-447964,OncogenicCategory_omnigene_387
RICTOR,Oncogene,loader,2020-04-22-17-46-05-118443,OncogenicCategory_omnigene_253260
RIT1,Neither,loader,2020-04-22-17-46-07-370765,OncogenicCategory_omnigene_6016
RNF43,Tumor Suppressor Gene,loader,2020-04-22-17-46-11-032494,OncogenicCategory_omnigene_54894
ROS1,Oncogene,loader,2020-04-22-17-46-13-370828,OncogenicCategory_omnigene_6098
RPS6KA4,Neither,loader,2020-04-22-17-46-15-077837,OncogenicCategory_omnigene_8986
RPS6KB1,Oncogene,loader,2020-04-22-17-46-23-325895,OncogenicCategory_omnigene_6198
RPS6KB2,Neither,loader,2020-04-22-17-46-26-827619,OncogenicCategory_omnigene_6199
RPTOR,Neither,loader,2020-04-22-17-46-29-013545,OncogenicCategory_omnigene_57521
RUNX1,Both,loader,2020-04-22-17-46-34-227017,OncogenicCategory_omnigene_861
RUNX1T1,Both,loader,2020-04-22-17-46-38-521405,OncogenicCategory_omnigene_862
RYBP,Neither,loader,2020-04-22-17-46-44-957048,OncogenicCategory_omnigene_23429
SDHA,Tumor Suppressor Gene,loader,2020-04-22-17-46-48-100294,OncogenicCategory_omnigene_6389
SDHAF2,Tumor Suppressor Gene,loader,2020-04-22-17-46-50-268208,OncogenicCategory_omnigene_54949
SDHB,Tumor Suppressor Gene,loader,2020-04-22-17-46-52-148005,OncogenicCategory_omnigene_6390
SDHC,Tumor Suppressor Gene,loader,2020-04-22-17-46-54-270619,OncogenicCategory_omnigene_6391
SDHD,Tumor Suppressor Gene,loader,2020-04-22-17-46-57-366016,OncogenicCategory_omnigene_6392
SETBP1,Tumor Suppressor Gene,loader,2020-04-22-17-46-59-551242,OncogenicCategory_omnigene_26040
SETD2,Tumor Suppressor Gene,loader,2020-04-22-17-47-07-392201,OncogenicCategory_omnigene_29072
SF3B1,Oncogene,loader,2020-04-22-17-47-12-787255,OncogenicCategory_omnigene_23451
SH2B3,Tumor Suppressor Gene,loader,2020-04-22-17-47-15-053528,OncogenicCategory_omnigene_10019
SH2D1A,Neither,loader,2020-04-22-17-47-18-143287,OncogenicCategory_omnigene_4068
SHQ1,Neither,loader,2020-04-22-17-47-20-053484,OncogenicCategory_omnigene_55164
SLIT2,Neither,loader,2020-04-22-17-47-22-526911,OncogenicCategory_omnigene_9353
SLX4,Tumor Suppressor Gene,loader,2020-04-22-17-47-25-558385,OncogenicCategory_omnigene_84464
SMAD2,Tumor Suppressor Gene,loader,2020-04-22-17-47-28-628296,OncogenicCategory_omnigene_4087
SMAD3,Tumor Suppressor Gene,loader,2020-04-22-17-47-31-333998,OncogenicCategory_omnigene_4088
SMAD4,Tumor Suppressor Gene,loader,2020-04-22-17-47-34-021246,OncogenicCategory_omnigene_4089
SMARCA4,Tumor Suppressor Gene,loader,2020-04-22-17-47-36-348964,OncogenicCategory_omnigene_6597
SMARCB1,Tumor Suppressor Gene,loader,2020-04-22-17-47-39-312852,OncogenicCategory_omnigene_6598
SMARCD1,Tumor Suppressor Gene,loader,2020-04-22-17-47-43-632860,OncogenicCategory_omnigene_6602
SMC1A,Tumor Suppressor Gene,loader,2020-04-22-17-47-46-453401,OncogenicCategory_omnigene_8243
SMC3,Neither,loader,2020-04-22-17-47-49-866391,OncogenicCategory_omnigene_9126
SMO,Oncogene,loader,2020-04-22-17-47-51-881736,OncogenicCategory_omnigene_6608
SNCAIP,Neither,loader,2020-04-22-17-47-53-885324,OncogenicCategory_omnigene_9627
SOCS1,Tumor Suppressor Gene,loader,2020-04-22-17-47-56-766690,OncogenicCategory_omnigene_8651
SOX10,Neither,loader,2020-04-22-17-48-00-270411,OncogenicCategory_omnigene_6663
SOX17,Neither,loader,2020-04-22-17-48-02-264700,OncogenicCategory_omnigene_64321
SOX2,Oncogene,loader,2020-04-22-17-48-04-486864,OncogenicCategory_omnigene_6657
SOX9,Neither,loader,2020-04-22-17-48-07-494995,OncogenicCategory_omnigene_6662
SPEN,Tumor Suppressor Gene,loader,2020-04-22-17-48-09-887608,OncogenicCategory_omnigene_23013
SPOP,Oncogene,loader,2020-04-22-17-48-12-634061,OncogenicCategory_omnigene_8405
SPTA1,Neither,loader,2020-04-22-17-48-15-095948,OncogenicCategory_omnigene_6708
SRC,Oncogene,loader,2020-04-22-17-48-22-128012,OncogenicCategory_omnigene_6714
SRSF2,Oncogene,loader,2020-04-22-17-48-25-384625,OncogenicCategory_omnigene_6427
SSX2,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-18-429416,OncogenicCategory_omnigene_6757
STAG1,Tumor Suppressor Gene,loader,2020-04-22-17-48-26-952760,OncogenicCategory_omnigene_10274
STAG2,Tumor Suppressor Gene,loader,2020-04-22-17-48-29-982740,OncogenicCategory_omnigene_10735
STAT1,Neither,loader,2020-04-22-17-48-33-968059,OncogenicCategory_omnigene_6772
STAT3,Oncogene,loader,2020-04-22-17-48-42-732593,OncogenicCategory_omnigene_6774
STAT4,Neither,loader,2020-04-22-17-48-45-439715,OncogenicCategory_omnigene_6775
STAT5A,Neither,loader,2020-04-22-17-48-48-555505,OncogenicCategory_omnigene_6776
STAT5B,Both,loader,2020-04-22-17-48-50-530383,OncogenicCategory_omnigene_6777
STK11,Tumor Suppressor Gene,loader,2020-04-22-17-48-53-589899,OncogenicCategory_omnigene_6794
STK40,Neither,loader,2020-04-22-17-48-55-260837,OncogenicCategory_omnigene_83931
SUFU,Tumor Suppressor Gene,loader,2020-04-22-17-49-02-267344,OncogenicCategory_omnigene_51684
SUZ12,Both,loader,2020-04-22-17-49-06-024470,OncogenicCategory_omnigene_23512
SYK,Oncogene,loader,2020-04-22-17-49-09-985128,OncogenicCategory_omnigene_6850
TAF1,Neither,loader,2020-04-22-17-49-14-911534,OncogenicCategory_omnigene_6872
TBX21,Neither,loader,2020-04-22-17-49-18-700183,OncogenicCategory_omnigene_30009
TBX3,Both,loader,2020-04-22-17-49-21-416218,OncogenicCategory_omnigene_6926
TCF3,Both,loader,2020-04-22-17-49-25-149767,OncogenicCategory_omnigene_6929
TCF7L2,Oncogene,loader,2020-04-22-17-49-28-633558,OncogenicCategory_omnigene_6934
TENT5C,Neither,loader,2020-04-22-17-30-39-389430,OncogenicCategory_omnigene_54855
TERC,Neither,loader,2020-04-22-17-49-29-434730,OncogenicCategory_omnigene_7012
TERT,Oncogene,loader,2020-04-22-17-49-32-629084,OncogenicCategory_omnigene_7015
TET1,Both,loader,2020-04-22-17-49-35-712357,OncogenicCategory_omnigene_80312
TET2,Tumor Suppressor Gene,loader,2020-04-22-17-49-38-984539,OncogenicCategory_omnigene_54790
TFE3,Oncogene,loader,2020-04-22-17-49-41-964091,OncogenicCategory_omnigene_7030
TFRC,Neither,loader,2020-04-22-17-49-44-522612,OncogenicCategory_omnigene_7037
TGFB1,Neither,loader,2020-04-22-17-49-47-462782,OncogenicCategory_omnigene_7040
TGFBR1,Neither,loader,2020-04-22-17-49-49-958806,OncogenicCategory_omnigene_7046
TGFBR2,Tumor Suppressor Gene,loader,2020-04-22-17-49-52-160955,OncogenicCategory_omnigene_7048
TIAF1,Oncogene,loader,2020-04-22-17-49-54-328600,OncogenicCategory_omnigene_9220
TIGIT,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-22-733289,OncogenicCategory_omnigene_201633
TLR7,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-27-172338,OncogenicCategory_omnigene_51284
TLR8,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-36-396851,OncogenicCategory_omnigene_51311
TLR9,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-41-056731,OncogenicCategory_omnigene_54106
TMEM127,Tumor Suppressor Gene,loader,2020-04-22-17-49-56-356129,OncogenicCategory_omnigene_55654
TMPRSS2,Neither,loader,2020-04-22-17-49-59-977618,OncogenicCategory_omnigene_7113
TNF,Neither,loader,2020-04-22-17-50-04-127358,OncogenicCategory_omnigene_7124
TNFAIP3,Tumor Suppressor Gene,loader,2020-04-22-17-50-07-143997,OncogenicCategory_omnigene_7128
TNFRSF14,Tumor Suppressor Gene,loader,2020-04-22-17-50-10-193803,OncogenicCategory_omnigene_8764
TNFRSF18,Neither,loader,2020-04-22-17-50-11-869053,OncogenicCategory_omnigene_8784
TNFRSF4,Neither,loader,2020-04-22-17-50-13-390373,OncogenicCategory_omnigene_7293
TNFRSF9,Neither,loader,2020-04-22-17-50-15-449278,OncogenicCategory_omnigene_3604
TNFSF4,Neither,loader,2020-04-22-17-50-18-320728,OncogenicCategory_omnigene_7292
TOP1,Oncogene,loader,2020-04-22-17-50-20-380331,OncogenicCategory_omnigene_7150
TOP2A,Neither,loader,2020-04-22-17-50-24-007816,OncogenicCategory_omnigene_7153
TP53,Tumor Suppressor Gene,loader,2020-04-22-17-50-30-548240,OncogenicCategory_omnigene_7157
TP63,Both,loader,2020-04-22-17-50-33-168692,OncogenicCategory_omnigene_8626
TRAF2,Neither,loader,2020-04-22-17-50-35-826636,OncogenicCategory_omnigene_7186
