gene_name,synonymsString,editor,edit_date,field
DNMT3B,DNMT3B,loader,2020-04-22-17-28-57-988085,SynonymsString_omnigene_1789
DOT1L,DOT1L,loader,2020-04-22-17-29-00-509598,SynonymsString_omnigene_84444
E2F3,E2F3,loader,2020-04-22-17-29-02-082649,SynonymsString_omnigene_1871
EED,EED,loader,2020-04-22-17-29-03-946568,SynonymsString_omnigene_8726
EGFL7,EGFL7,loader,2020-04-22-17-29-06-289980,SynonymsString_omnigene_51162
EGFR,EGFR,loader,2020-04-22-17-29-14-591250,SynonymsString_omnigene_1956
EIF1AX,EIF1AX,loader,2020-04-22-17-29-17-499052,SynonymsString_omnigene_1964
EIF4A2,EIF4A2,loader,2020-04-22-17-29-20-136914,SynonymsString_omnigene_1974
EIF4E,EIF4E,loader,2020-04-22-17-29-23-005873,SynonymsString_omnigene_1977
ELOC,TCEB1,loader,2020-04-22-17-49-23-077905,SynonymsString_omnigene_6921
EML4,EML4,loader,2020-04-22-17-29-24-625237,SynonymsString_omnigene_27436
EMSY,C11orf30,loader,2020-04-22-17-24-19-695765,SynonymsString_omnigene_56946
ENTPD1,ENTPD1,loader,2020-04-22-17-29-27-054336,SynonymsString_omnigene_953
EP300,EP300,loader,2020-04-22-17-29-37-605680,SynonymsString_omnigene_2033
EPCAM,EPCAM,loader,2020-04-22-17-29-41-188870,SynonymsString_omnigene_4072
EPHA3,EPHA3,loader,2020-04-22-17-29-43-136110,SynonymsString_omnigene_2042
EPHA5,EPHA5,loader,2020-04-22-17-29-44-673344,SynonymsString_omnigene_2044
EPHA7,EPHA7,loader,2020-04-22-17-29-46-986947,SynonymsString_omnigene_2045
EPHB1,EPHB1,loader,2020-04-22-17-29-49-118719,SynonymsString_omnigene_2047
ERBB2,ERBB2,loader,2020-04-22-17-29-52-131396,SynonymsString_omnigene_2064
ERBB3,ERBB3,loader,2020-04-22-17-29-55-326050,SynonymsString_omnigene_2065
ERBB4,ERBB4,loader,2020-04-22-17-29-58-944558,SynonymsString_omnigene_2066
ERCC1,ERCC1,loader,2020-04-22-17-30-00-706345,SynonymsString_omnigene_2067
ERCC2,ERCC2,loader,2020-04-22-17-30-03-373963,SynonymsString_omnigene_2068
ERCC3,ERCC3,loader,2020-04-22-17-30-05-550236,SynonymsString_omnigene_2071
ERCC4,ERCC4,loader,2020-04-22-17-30-08-123011,SynonymsString_omnigene_2072
ERCC5,ERCC5,loader,2020-04-22-17-30-09-912140,SynonymsString_omnigene_2073
ERG,ERG,loader,2020-04-22-17-30-11-704341,SynonymsString_omnigene_2078
ERRFI1,ERRFI1,loader,2020-04-22-17-30-13-223366,SynonymsString_omnigene_54206
ESR1,ESR1,loader,2020-04-22-17-30-16-760928,SynonymsString_omnigene_2099
ETS1,ETS1,loader,2020-04-22-17-30-18-916303,SynonymsString_omnigene_2113
ETV1,ETV1,loader,2020-04-22-17-30-21-338977,SynonymsString_omnigene_2115
ETV4,ETV4,loader,2020-04-22-17-30-22-853521,SynonymsString_omnigene_2118
ETV5,ETV5,loader,2020-04-22-17-30-24-563290,SynonymsString_omnigene_2119
ETV6,ETV6,loader,2020-04-22-17-30-26-386952,SynonymsString_omnigene_2120
EWSR1,EWSR1,loader,2020-04-22-17-30-28-761212,SynonymsString_omnigene_2130
EZH2,EZH2,loader,2020-04-22-17-30-32-567221,SynonymsString_omnigene_2146
FANCA,FANCA,loader,2020-04-22-17-30-41-722487,SynonymsString_omnigene_2175
FANCC,FANCC,loader,2020-04-22-17-30-43-172385,SynonymsString_omnigene_2176
FANCD2,FANCD2,loader,2020-04-22-17-30-45-664734,SynonymsString_omnigene_2177
FANCE,FANCE,loader,2020-04-22-17-30-47-368672,SynonymsString_omnigene_2178
FANCF,FANCF,loader,2020-04-22-17-30-48-947323,SynonymsString_omnigene_2188
FANCG,FANCG,loader,2020-04-22-17-30-50-580821,SynonymsString_omnigene_2189
FANCI,FANCI,loader,2020-04-22-17-30-52-515658,SynonymsString_omnigene_55215
FANCL,FANCL,loader,2020-04-22-17-30-56-614677,SynonymsString_omnigene_55120
FAS,FAS,loader,2020-04-22-17-31-00-143064,SynonymsString_omnigene_355
FAT1,FAT1,loader,2020-04-22-17-31-01-834224,SynonymsString_omnigene_2195
FBXW7,FBXW7,loader,2020-04-22-17-31-10-374098,SynonymsString_omnigene_55294
FGF1,FGF1,loader,2020-04-22-17-31-15-575884,SynonymsString_omnigene_2246
FGF10,FGF10,loader,2020-04-22-17-31-18-317095,SynonymsString_omnigene_2255
FGF14,FGF14,loader,2020-04-22-17-31-20-547184,SynonymsString_omnigene_2259
FGF19,FGF19,loader,2020-04-22-17-31-21-981511,SynonymsString_omnigene_9965
FGF2,FGF2,loader,2020-04-22-17-31-25-776029,SynonymsString_omnigene_2247
FGF23,FGF23,loader,2020-04-22-17-31-27-431413,SynonymsString_omnigene_8074
FGF3,FGF3,loader,2020-04-22-17-31-29-608950,SynonymsString_omnigene_2248
FGF4,FGF4,loader,2020-04-22-17-31-31-013185,SynonymsString_omnigene_2249
FGF5,FGF5,loader,2020-04-22-17-31-32-591709,SynonymsString_omnigene_2250
FGF6,FGF6,loader,2020-04-22-17-31-34-100645,SynonymsString_omnigene_2251
FGF7,FGF7,loader,2020-04-22-17-31-35-542131,SynonymsString_omnigene_2252
FGF8,FGF8,loader,2020-04-22-17-31-38-153602,SynonymsString_omnigene_2253
FGF9,FGF9,loader,2020-04-22-17-31-40-685229,SynonymsString_omnigene_2254
FGFR1,FGFR1,loader,2020-04-22-17-31-43-175860,SynonymsString_omnigene_2260
FGFR2,FGFR2,loader,2020-04-22-17-31-45-408943,SynonymsString_omnigene_2263
FGFR3,FGFR3,loader,2020-04-22-17-31-47-895682,SynonymsString_omnigene_2261
FGFR4,FGFR4,loader,2020-04-22-17-31-49-711188,SynonymsString_omnigene_2264
FH,FH,loader,2020-04-22-17-31-52-233134,SynonymsString_omnigene_2271
FLCN,FLCN,loader,2020-04-22-17-31-58-880769,SynonymsString_omnigene_201163
FLI1,FLI1,loader,2020-04-22-17-32-03-170569,SynonymsString_omnigene_2313
FLT1,FLT1,loader,2020-04-22-17-32-05-871900,SynonymsString_omnigene_2321
FLT3,FLT3,loader,2020-04-22-17-32-08-665696,SynonymsString_omnigene_2322
FLT4,FLT4,loader,2020-04-22-17-32-10-515671,SynonymsString_omnigene_2324
FOXA1,FOXA1,loader,2020-04-22-17-32-12-773581,SynonymsString_omnigene_3169
FOXL2,FOXL2,loader,2020-04-22-17-32-14-443322,SynonymsString_omnigene_668
FOXO1,FOXO1,loader,2020-04-22-17-32-16-938162,SynonymsString_omnigene_2308
FOXP1,FOXP1,loader,2020-04-22-17-32-21-971862,SynonymsString_omnigene_27086
FOXP3,FOXP3,loader,2020-04-22-17-32-26-537826,SynonymsString_omnigene_50943
FRS2,FRS2,loader,2020-04-22-17-32-28-883996,SynonymsString_omnigene_10818
FUBP1,FUBP1,loader,2020-04-22-17-32-30-310474,SynonymsString_omnigene_8880
FYN,FYN,loader,2020-04-22-17-32-32-805350,SynonymsString_omnigene_2534
GABRA6,GABRA6,loader,2020-04-22-17-32-34-229051,SynonymsString_omnigene_2559
GAS6,GAS6,loader,2020-04-22-17-32-36-666026,SynonymsString_omnigene_2621
GATA1,GATA1,loader,2020-04-22-17-32-38-757575,SynonymsString_omnigene_2623
GATA2,GATA2,loader,2020-04-22-17-32-40-764016,SynonymsString_omnigene_2624
GATA3,GATA3,loader,2020-04-22-17-32-42-735740,SynonymsString_omnigene_2625
GATA4,GATA4,loader,2020-04-22-17-32-46-846694,SynonymsString_omnigene_2626
GATA6,GATA6,loader,2020-04-22-17-32-53-161293,SynonymsString_omnigene_2627
GEN1,GEN1,loader,2020-04-22-17-32-59-024350,SynonymsString_omnigene_348654
GID4,GID4,loader,2020-04-22-17-33-02-030326,SynonymsString_omnigene_79018
GLI1,GLI1,loader,2020-04-22-17-33-07-289264,SynonymsString_omnigene_2735
GNA11,GNA11,loader,2020-04-22-17-33-09-504869,SynonymsString_omnigene_2767
GNA13,GNA13,loader,2020-04-22-17-33-13-668624,SynonymsString_omnigene_10672
GNAQ,GNAQ,loader,2020-04-22-17-33-15-825502,SynonymsString_omnigene_2776
GNAS,GNAS,loader,2020-04-22-17-33-18-541110,SynonymsString_omnigene_2778
GPS2,GPS2,loader,2020-04-22-17-33-25-456980,SynonymsString_omnigene_2874
GREM1,GREM1,loader,2020-04-22-17-33-28-416277,SynonymsString_omnigene_26585
GRIN2A,GRIN2A,loader,2020-04-22-17-33-32-128084,SynonymsString_omnigene_2903
GRM3,GRM3,loader,2020-04-22-17-33-33-921200,SynonymsString_omnigene_2913
GSK3B,GSK3B,loader,2020-04-22-17-33-38-678691,SynonymsString_omnigene_2932
GZMB,GZMB,loader,2020-04-22-17-33-41-121039,SynonymsString_omnigene_3002
H1-2,HIST1H1C,loader,2020-04-22-17-33-59-647033,SynonymsString_omnigene_3006
H2BC5,HIST1H2BD,loader,2020-04-22-17-34-01-499419,SynonymsString_omnigene_3017
H3-3A,H3F3A,loader,2020-04-22-17-33-43-782936,SynonymsString_omnigene_3020
H3-3B,H3F3B,loader,2020-04-22-17-33-47-215353,SynonymsString_omnigene_3021
H3-4,HIST3H3,loader,2020-04-22-17-34-35-561148,SynonymsString_omnigene_8290
H3-5,H3F3C,loader,2020-04-22-17-33-48-720569,SynonymsString_omnigene_440093
H3C1,HIST1H3A,loader,2020-04-22-17-34-04-122377,SynonymsString_omnigene_8350
H3C10,HIST1H3H,loader,2020-04-22-17-34-19-376134,SynonymsString_omnigene_8357
H3C11,HIST1H3I,loader,2020-04-22-17-34-22-405366,SynonymsString_omnigene_8354
H3C12,HIST1H3J,loader,2020-04-22-17-34-25-386487,SynonymsString_omnigene_8356
H3C13,HIST2H3D,loader,2020-04-22-17-34-33-381323,SynonymsString_omnigene_653604
H3C14,HIST2H3C,loader,2020-04-22-17-34-30-506866,SynonymsString_omnigene_126961
H3C15,HIST2H3A,loader,2020-04-22-17-34-27-833818,SynonymsString_omnigene_333932
H3C2,HIST1H3B,loader,2020-04-22-17-34-06-683491,SynonymsString_omnigene_8358
H3C6,HIST1H3E,loader,2020-04-22-17-34-09-632757,SynonymsString_omnigene_8353
H3C7,HIST1H3F,loader,2020-04-22-17-34-13-104985,SynonymsString_omnigene_8968
H3C8,HIST1H3G,loader,2020-04-22-17-34-16-147798,SynonymsString_omnigene_8355
HAVCR2,HAVCR2,loader,2020-04-22-17-33-54-524573,SynonymsString_omnigene_84868
HGF,HGF,loader,2020-04-22-17-33-58-090469,SynonymsString_omnigene_3082
HLA-A,HLA-A,loader,2020-04-22-17-34-53-250517,SynonymsString_omnigene_3105
HNF1A,HNF1A,loader,2020-04-22-17-34-58-239868,SynonymsString_omnigene_6927
HNRNPK,HNRNPK,loader,2020-04-22-17-35-01-056976,SynonymsString_omnigene_3190
HOXB13,HOXB13,loader,2020-04-22-17-35-03-561120,SynonymsString_omnigene_10481
HRAS,HRAS,loader,2020-04-22-17-35-07-972088,SynonymsString_omnigene_3265
HSD3B1,HSD3B1,loader,2020-04-22-17-35-10-271904,SynonymsString_omnigene_3283
HSP90AA1,HSP90AA1,loader,2020-04-22-17-35-16-957155,SynonymsString_omnigene_3320
ICOS,ICOS,loader,2020-04-22-17-35-19-292174,SynonymsString_omnigene_29851
ICOSLG,ICOSLG,loader,2020-04-22-17-35-21-516527,SynonymsString_omnigene_23308
ID3,ID3,loader,2020-04-22-17-35-23-087157,SynonymsString_omnigene_3399
IDH1,IDH1,loader,2020-04-22-17-35-26-227224,SynonymsString_omnigene_3417
IDH2,IDH2,loader,2020-04-22-17-35-28-854930,SynonymsString_omnigene_3418
IDO1,IDO1,loader,2020-04-22-17-35-32-744786,SynonymsString_omnigene_3620
IFITM1,IFITM1,loader,2020-04-22-17-35-34-796070,SynonymsString_omnigene_8519
IFITM3,IFITM3,loader,2020-04-22-17-35-36-865083,SynonymsString_omnigene_10410
IFNG,IFNG,loader,2020-04-22-17-35-39-129693,SynonymsString_omnigene_3458
IFNGR1,IFNGR1,loader,2020-04-22-17-35-42-048767,SynonymsString_omnigene_3459
IGF1,IGF1,loader,2020-04-22-17-35-46-657046,SynonymsString_omnigene_3479
IGF1R,IGF1R,loader,2020-04-22-17-35-50-464775,SynonymsString_omnigene_3480
IGF2,IGF2,loader,2020-04-22-17-35-53-592167,SynonymsString_omnigene_3481
IKBKE,IKBKE,loader,2020-04-22-17-35-55-789663,SynonymsString_omnigene_9641
IKZF1,IKZF1,loader,2020-04-22-17-35-58-707171,SynonymsString_omnigene_10320
IL10,IL10,loader,2020-04-22-17-36-02-225114,SynonymsString_omnigene_3586
IL1B,IL1B,loader,2020-04-22-17-36-05-639615,SynonymsString_omnigene_3553
IL6,IL6,loader,2020-04-22-17-36-08-404179,SynonymsString_omnigene_3569
IL7R,IL7R,loader,2020-04-22-17-36-11-075236,SynonymsString_omnigene_3575
INHA,INHA,loader,2020-04-22-17-36-12-536279,SynonymsString_omnigene_3623
INHBA,INHBA,loader,2020-04-22-17-36-14-459234,SynonymsString_omnigene_3624
INPP4A,INPP4A,loader,2020-04-22-17-36-17-632556,SynonymsString_omnigene_3631
INPP4B,INPP4B,loader,2020-04-22-17-36-21-160297,SynonymsString_omnigene_8821
INSR,INSR,loader,2020-04-22-17-36-25-319418,SynonymsString_omnigene_3643
IRF2,IRF2,loader,2020-04-22-17-36-27-918170,SynonymsString_omnigene_3660
IRF4,IRF4,loader,2020-04-22-17-36-30-684859,SynonymsString_omnigene_3662
IRS1,IRS1,loader,2020-04-22-17-36-32-823022,SynonymsString_omnigene_3667
IRS2,IRS2,loader,2020-04-22-17-36-34-639554,SynonymsString_omnigene_8660
JAK1,JAK1,loader,2020-04-22-17-36-37-455860,SynonymsString_omnigene_3716
JAK2,JAK2,loader,2020-04-22-17-36-41-970909,SynonymsString_omnigene_3717
JAK3,JAK3,loader,2020-04-22-17-36-44-292991,SynonymsString_omnigene_3718
JUN,JUN,loader,2020-04-22-17-36-48-303390,SynonymsString_omnigene_3725
KAT6A,KAT6A,loader,2020-04-22-17-36-50-804654,SynonymsString_omnigene_7994
KDM5A,KDM5A,loader,2020-04-22-17-36-54-355000,SynonymsString_omnigene_5927
KDM5C,KDM5C,loader,2020-04-22-17-36-56-947972,SynonymsString_omnigene_8242
